;,Urban 3,Rice,Ampalaya,Eggplant,Hotpepper,Okra,Patola,Tomato,Sitao,Upo,Watermelon
;,,,,,,,,,,,,
;Year,Month,Rice,Ampalaya,Eggplant,Hotpepper,Okra,Patola,Tomato,Sitao,Upo,Watermelon
2016,1,16397.20,1.30,4.62,2.96,5.94,2.17,5.44,3.06,0.39,0.77
2016,2,16397.20,1.26,2.29,1.64,4.08,0.36,10.44,3.01,0.04,18.47
2016,3,16397.20,3.25,1.15,1.89,1.52,2.85,1.39,3.71,0.76,35.34
2016,4,15405.45,0.46,2.37,0.42,3.34,0.45,0.35,0.60,0.25,40.16
2016,5,15405.45,1.85,2.95,1.90,4.45,0.93,2.17,4.51,0.91,7.54
2016,6,15405.45,5.19,3.90,4.47,5.95,3.55,2.97,2.97,0.78,0.00
2016,7,15405.45,6.06,4.29,3.94,4.81,2.37,5.81,2.70,0.30,0.00
2016,8,15405.45,1.18,3.35,0.62,5.15,2.32,0.25,1.96,0.50,0.00
2016,9,16397.20,2.32,5.39,2.96,4.54,0.00,3.77,3.47,1.40,0.07
2016,10,16397.20,2.83,1.53,2.77,2.75,0.80,4.25,3.37,0.40,0.50
2016,11,16397.20,3.07,3.45,1.87,1.85,0.19,3.54,2.66,1.01,5.70
2016,12,16397.20,0.22,3.68,3.60,4.31,0.05,6.55,4.47,0.06,0.00
2017,1,18737.18,3.75,4.74,3.78,4.03,1.94,17.81,4.41,0.18,0.34
2017,2,18737.18,0.34,1.53,0.62,2.99,1.24,6.06,1.40,0.13,18.08
2017,3,18737.18,1.72,6.89,0.57,1.49,2.41,3.51,0.70,0.00,29.57
2017,4,20213.45,0.65,3.64,3.85,1.00,2.64,2.20,0.45,0.35,49.79
2017,5,20213.45,5.82,2.99,0.67,7.52,1.79,4.43,2.43,2.03,9.43
2017,6,20213.45,4.46,1.57,13.57,5.92,3.45,5.64,6.19,0.00,0.00
2017,7,20213.45,1.83,0.05,0.08,0.01,1.81,0.05,0.01,0.01,0.00
2017,8,20213.45,2.00,3.93,3.83,4.11,2.63,1.81,2.33,0.75,0.00
2017,9,18737.18,3.66,1.41,0.49,5.25,3.18,4.27,2.83,0.30,0.03
2017,10,18737.18,1.47,1.69,1.00,7.19,1.44,3.82,6.05,0.01,0.63
2017,11,18737.18,2.51,2.72,4.55,4.53,1.56,9.75,2.17,2.30,6.25
2017,12,18737.18,1.75,2.86,3.05,4.28,0.73,6.63,3.12,1.00,0.00
2018,1,17058.03,4.77,4.46,2.62,5.51,2.13,14.52,2.48,1.66,0.12
