,Norzagaray,ha,,,,,,,,,
2009,11,,,,,,,,,,
2009,12,,,,,,,,,,
2010,1,,,,,,,,,,
2010,2,,,,,,,,,,
2010,3,,,,,,,,,,
2010,4,,,,,,,,,,
2010,5,,,,,,,,,,
2010,6,,,,,,,,,,
2010,7,,,,,,,,,,
2010,8,,,,,,,,,,
2010,9,,,,,,,,,,
2010,10,,,,,,,,,,
2010,11,,,,,,,,,,
2010,12,,,,,,,,,,
2011,1,,,,,,,,,,
2011,2,,,,,,,,,,
2011,3,,,,,,,,,,
2011,4,,,,,,,,,,
2011,5,,,,,,,,,,
2011,6,,,,,,,,,,
2011,7,,,,,,,,,,
2011,8,,,,,,,,,,
2011,9,,,,,,,,,,
2011,10,,,,,,,,,,
2011,11,,,,,,,,,,
2011,12,,,,,,,,,,
2012,1,,,,,,,,,,
2012,2,,,,,,,,,,
2012,3,,,,,,,,,,
2012,4,,,,,,,,,,
2012,5,,,,,,,,,,
2012,6,,,,,,,,,,
2012,7,,,,,,,,,,
2012,8,,,,,,,,,,
2012,9,,,,,,,,,,
2012,10,,,,,,,,,,
2012,11,,,,,,,,,,
2012,12,,,,,,,,,,
2013,1,,,,,,,,,,
2013,2,,,,,,,,,,
2013,3,,,,,,,,,,
2013,4,,,,,,,,,,
2013,5,,,,,,,,,,
2013,6,,,,,,,,,,
2013,7,,,,,,,,,,
2013,8,,,,,,,,,,
2013,9,,,,,,,,,,
2013,10,,,,,,,,,,
2013,11,,,,,,,,,,
2013,12,,,,,,,,,,
2014,1,,,,,,,,,,
2014,2,,,,,,,,,,
2014,3,,,,,,,,,,
2014,4,,,,,,,,,,
2014,5,,,,,,,,,,
2014,6,,,,,,,,,,
2014,7,,,,,,,,,,
2014,8,,,,,,,,,,
2014,9,,,,,,,,,,
2014,10,,,,,,,,,,
2014,11,,,,,,,,,,
2014,12,,,,,,,,,,
2015,1,,,,,,,,,,
2015,2,,,,,,,,,,
2015,3,,,,,,,,,,
2015,4,,,,,,,,,,
2015,5,,,,,,,,,,
2015,6,,,,,,,,,,
2015,7,,,,,,,,,,
2015,8,,,,,,,,,,
2015,9,,,,,,,,,,
2015,10,,,,,,,,,,
2015,11,,,,,,,,,,
2015,12,,,,,,,,,,
2016,1,83.75,0,44,0,0.05,0,0.03,0.07,0,0
2016,2,83.75,0.05,0.12,0,0.35,0,0.12,0.6,0.05,0
2016,3,83.75,0,0.02,0,0.13,0.02,0,0.53,0.2,0
2016,4,1333.6,0,0.05,0,0,0,0,0,0,0
2016,5,1333.6,0,0.03,0,0.63,0,0,2.38,0,0
2016,6,1333.6,0,0,0,0,0,0,1.81,0.01,0
2016,7,1333.6,0.15,1.25,0,1.6,0.04,0,2.2,0.05,0
2016,8,1333.6,0,0,0,2.4,0,0,2.48,0,0
2016,9,83.75,0,0.15,0,0.55,0,0,3,0,0
2016,10,83.75,0.1,0.25,0,2.08,0,0.25,2.24,0.42,0
2016,11,83.75,0,1.2,0.2,0,0,0.15,0,0,0
2016,12,83.75,0.1,0.3,0.07,1.7,0,0,1.85,0.1,0
2017,1,141,0.1,1.2,0.15,1.05,0.36,0.27,2,0.1,0
2017,2,141,0.06,1.9,0.08,1.15,0,0.05,1.3,0.05,0
2017,3,141,0,0.6,0,0,0,0,0.2,0,0
2017,4,1322,0,0,0,0.5,0,0,0.6,0,0
2017,5,1322,0,0,0,0.5,0,0,0.6,0.15,0
2017,6,1322,0,0.15,0,1.05,0.17,0,1.4,0,0
2017,7,1322,0,0.1,0,3,0.01,0,3.5,0,0
2017,8,1322,0.05,0.75,0.01,2.39,0.12,0,2.67,0,0
2017,9,141,0,0,0,0.8,0.13,0,1,0,0
2017,10,141,0,0.02,0,0.36,0.66,0,0.48,0,0
2017,11,141,0,0,0,0.75,0.15,0,0.38,0,0
2017,12,141,0,0.2,0,1.3,0,0,1.4,0,0
2018,1,173,0.15,1.45,0.14,2.89,0,0,2.13,0.05,0
2018,2,173,0.1,0.95,0.08,1.57,0,0.25,1.42,0.05,0
2018,3,173,0,0.55,0.02,1.2,0,0,0.83,0,0
2018,4,1322,0,0.2,0.01,0.07,0,0,1.15,0,0
2018,5,1322,0,0,0,0.6,0,0,0.15,0,0
2018,6,1322,0.25,0.77,0.37,2.25,0,0,1.06,0,0
2018,7,1322,0,0.45,0.2,2.4,0,0,2.37,0,0
2018,8,1322,0,0.55,0.08,2.35,0.58,0,2.75,1.66,0
2018,9,173,0,0,0.06,0,0,0,0,0,0
2018,10,173,0,0.3,0.03,1.61,0,0,1.44,0,0
2018,11,173,0,0.4,0.08,0.78,0,0,0.02,0,0
2018,12,173,0,0.15,0.11,1.15,0,0,1,0,0
2019,1,173,0,0.25,0,0.15,0,0,0.25,0,0
2019,2,173,0,0.15,0.05,0.8,0,0,0.55,0,0
2019,3,173,0,0,0,0.25,0,0.3,0.2,0,0
2019,4,1322,0,0,0,0.4,0,0,0.3,0,0
2019,5,1322,0.05,0,0,0.25,0,0,0.3,0.01,0
2019,6,1322,0,0,0,1,0,0,1.05,0,0
2019,7,1322,0.5,0.5,0,1,0,0,0.62,0.1,0
2019,8,1322,0,0.65,0,2.09,0,0,2.85,0,0
2019,9,173,0,0,0,0.58,0,0,0.85,0,0
2019,10,173,0,0,0,1.3,0,0,0.15,0,0
2019,11,173,0,0.6,0,1.5,0,0,0.95,0,0
2019,12,173,0,1,0,0.64,0,0,2.35,0,0
2020,1,173,0,0.95,0,1.75,0.36,0,0.9,0,0
2020,2,173,0,1.35,0,0.8,0,0,0.35,0,0
2020,3,173,0,0.1,0.1,0.47,0,0,0.27,0,0
2020,4,1322,0,0.1,0,0.28,0,0.1,0.12,0,0
2020,5,1322,0,0,0,0.1,0,0,0.18,0,0
2020,6,1322,0,0.1,0,0,0.17,0,0.12,0,0
2020,7,1322,0,0.15,0,0.2,0.01,0,0.15,0,0
2020,8,1322,0.01,0.12,0,0.76,0.12,0.06,0.2,0.42,0
2020,9,173,0,0.05,0,0.1,0.13,0,0.1,0,0
2020,10,173,0,0.15,0,1.05,0.66,0,0.25,0,0
2020,11,173,0,0,0,0,0.15,0,0,0,0
2020,12,173,0,0.1,0,0.6,0,0,0.85,0,0
2021,1,173,0.05,2,1,0,0.5,0,0.28,0,0
2021,2,173,0,0.5,0.52,1.32,0,0.15,1.21,0.19,0
2021,3,173,0,0.2,0.02,0.35,0,0.1,0.1,0.11,0
2021,4,1328.18,0,0,0,0,0,0,0,0,0
2021,5,1328.18,0,0,0,0,0,0,0,0,0
2021,6,1328.18,0.35,5.23,1.71,0.59,0.24,0,3.56,0,0
2021,7,1328.18,0,0.25,0.1,0.3,0,0.05,0.6,0,0
2021,8,1328.18,0,0,0,1.3,0.16,0,1.45,0,0
2021,9,173,0.35,2.62,0.2,0.59,0.08,0,3.26,0,0
2021,10,173,0,0,0,0,0.26,0,0,0,0
2021,11,173,0,2.5,0,2.3,0.21,0,2.5,0,0
2021,12,173,0,0.4,0,0,0,0,0,0,0
2022,1,205.26,0,0,0,0,0,0,0,0,0
2022,2,205.26,1.2,2,0,0,0,0,1.3,0,0
2022,3,205.26,0,0,0,0,0,0,0,0,0
2022,4,1006.87,0,0.3,0,0.55,0,0.05,0.5,0,0
2022,5,1006.87,0,0,0,0,0,0,0,0,0
2022,6,1006.87,0.15,1.8,0.61,1.76,0,0,2.01,0,0
2022,7,1006.87,0.2,2.05,1.5,1,0,0,1.6,0,0
2022,8,1006.87,0.3,3.35,0.6,3.9,0,0.65,5.4,0,0
2022,9,205.26,1.6,4.45,0.25,3.35,0.5,0,3.55,0,0
2022,10,205.26,2.9,1.9,0.2,2.8,3.3,0,5.1,1,0
2022,11,205.26,0.2,0.65,0.35,2.55,0,0,2.85,0,0
2022,12,205.26,0,0.35,0,1.7,0,0,0.9,0,0
2023,1,173,2,3,0,0.2,1.8,0,2.4,0,0
2023,2,173,0,0,0,0,0,0,0,0,0
2023,3,173,0,0,0,0,0,0,0,0,0
2023,4,1077.75,0,0.15,0.1,0,0,0,0.6,0,0
2023,5,1077.75,0,0.1,0,0,0,0,0.5,0,0
2023,6,1077.75,0,0,0,0.55,0.85,0,2.7,0,0
2023,7,1077.75,0.13,3.61,0.01,2.1,0,0.01,2.75,0,0
2023,8,1077.75,0,0,0,0,0,0,0,0,0
2023,9,173,0,1.4,0,0.15,0.14,0,0.2,0,0
2023,10,173,0.12,2.5,0,0.5,0,0,1.38,0,0
2023,11,173,1.2,0.58,0.05,0.85,0.75,0.02,1.13,1.4,0
2023,12,173,0,1.35,0,0.3,0,0.1,0.35,0.1,0
2024,1,173,0,0.35,0,0.72,0.38,0,1.14,0.1,0
2024,2,173,0,0.15,0,0.3,0,0,0,0,0
2024,3,173,0,0.15,0,0.3,0,0.1,0.35,0.1,0
2024,4,1077.24,0,0,0,0,0,0,0,0,0
2024,5,1077.24,0,0,0,0,0,0,0,0,0
2024,6,1077.24,0,0,0.63,1,0.18,0,0,0,0
2024,7,1077.24,0,0,0,0,0.01,0,0,0,0
2024,8,1077.24,0,0,0,0,0.12,0,0,0,0
2024,9,173,0,0,0,0,0.12,0,0,0,0
2024,10,173,0,0,0,0,0.61,0,0,0,0
2024,11,173,0,0,0,0,0.16,0,0,0,0
2024,12,173,0,2.6,0.8,1,0,0.9,1.85,0.1,0
