;Year,Month,Rice,Ampalaya,Eggplant,Hotpepper,Okra,Patola,Tomato,Sitao,Upo,Watermelon,Rice,Ampalaya,Eggplant,Hotpepper,Okra,Patola,Tomato,Sitao,Upo,Watermelon
2008,5,,,,,,,,,,,,,,,,,,,,
2008,6,,,,,,,,,,,,,,,,,,,,
2008,7,,,,,,,,,,,,,,,,,,,,
2008,8,,,,,,,,,,,,,,,,,,,,
2008,9,,,,,,,,,,,,,,,,,,,,
2008,10,,,,,,,,,,,,,,,,,,,,
2008,11,,,,,,,,,,,,,,,,,,,,
2008,12,,,,,,,,,,,,,,,,,,,,
2009,1,,,,,,,,,,,,,,,,,,,,
2009,2,,,,,,,,,,,,,,,,,,,,
2009,3,,,,,,,,,,,,,,,,,,,,
2009,4,,,,,,,,,,,,,,,,,,,,
2009,5,,,,,,,,,,,,,,,,,,,,
2009,6,,,,,,,,,,,,,,,,,,,,
2009,7,,,,,,,,,,,,,,,,,,,,
2009,8,,,,,,,,,,,,,,,,,,,,
2009,9,,,,,,,,,,,,,,,,,,,,
2009,10,,,,,,,,,,,,,,,,,,,,
2009,11,,,,,,,,,,,,,,,,,,,,
2009,12,,,,,,,,,,,,,,,,,,,,
2010,1,,,,,,,,,,,,,,,,,,,,
2010,2,,,,,,,,,,,,,,,,,,,,
2010,3,,,,,,,,,,,,,,,,,,,,
2010,4,,,,,,,,,,,,,,,,,,,,
2010,5,,,,,,,,,,,,,,,,,,,,
2010,6,,,,,,,,,,,,,,,,,,,,
2010,7,,,,,,,,,,,,,,,,,,,,
2010,8,,,,,,,,,,,,,,,,,,,,
2010,9,,,,,,,,,,,,,,,,,,,,
2010,10,,,,,,,,,,,,,,,,,,,,
2010,11,,,,,,,,,,,,,,,,,,,,
2010,12,,,,,,,,,,,,,,,,,,,,
2011,1,,,,,,,,,,,,,,,,,,,,
2011,2,,,,,,,,,,,,,,,,,,,,
2011,3,,,,,,,,,,,,,,,,,,,,
2011,4,,,,,,,,,,,,,,,,,,,,
2011,5,,,,,,,,,,,,,,,,,,,,
2011,6,,,,,,,,,,,,,,,,,,,,
2011,7,,,,,,,,,,,,,,,,,,,,
2011,8,,,,,,,,,,,,,,,,,,,,
2011,9,,,,,,,,,,,,,,,,,,,,
2011,10,,,,,,,,,,,,,,,,,,,,
2011,11,,,,,,,,,,,,,,,,,,,,
2011,12,,,,,,,,,,,,,,,,,,,,
2012,1,,,,,,,,,,,,,,,,,,,,
2012,2,,,,,,,,,,,,,,,,,,,,
2012,3,,,,,,,,,,,,,,,,,,,,
2012,4,,,,,,,,,,,,,,,,,,,,
2012,5,,,,,,,,,,,,,,,,,,,,
2012,6,,,,,,,,,,,,,,,,,,,,
2012,7,,,,,,,,,,,,,,,,,,,,
2012,8,,,,,,,,,,,,,,,,,,,,
2012,9,,,,,,,,,,,,,,,,,,,,
2012,10,,,,,,,,,,,,,,,,,,,,
2012,11,,,,,,,,,,,,,,,,,,,,
2012,12,,,,,,,,,,,,,,,,,,,,
2013,1,,,,,,,,,,,,,,,,,,,,
2013,2,,,,,,,,,,,,,,,,,,,,
2013,3,,,,,,,,,,,,,,,,,,,,
2013,4,,,,,,,,,,,,,,,,,,,,
2013,5,,,,,,,,,,,,,,,,,,,,
2013,6,,,,,,,,,,,,,,,,,,,,
2013,7,,,,,,,,,,,,,,,,,,,,
2013,8,,,,,,,,,,,,,,,,,,,,
2013,9,,,,,,,,,,,,,,,,,,,,
2013,10,,,,,,,,,,,,,,,,,,,,
2013,11,,,,,,,,,,,,,,,,,,,,
2013,12,,,,,,,,,,,,,,,,,,,,
2014,1,,,,,,,,,,,,,,,,,,,,
2014,2,,,,,,,,,,,,,,,,,,,,
2014,3,,,,,,,,,,,,,,,,,,,,
2014,4,,,,,,,,,,,,,,,,,,,,
2014,5,,,,,,,,,,,,,,,,,,,,
2014,6,,,,,,,,,,,,,,,,,,,,
2014,7,,,,,,,,,,,,,,,,,,,,
2014,8,,,,,,,,,,,,,,,,,,,,
2014,9,,,,,,,,,,,,,,,,,,,,
2014,10,,,,,,,,,,,,,,,,,,,,
2014,11,,,,,,,,,,,,,,,,,,,,
2014,12,,,,,,,,,,,,,,,,,,,,
2015,1,,,,,,,,,,,,,,,,,,,,
2015,2,,,,,,,,,,,,,,,,,,,,
2015,3,,,,,,,,,,,,,,,,,,,,
2015,4,,,,,,,,,,,,,,,,,,,,
2015,5,,,,,,,,,,,,,,,,,,,,
2015,6,,,,,,,,,,,,,,,,,,,,
2015,7,,,,,,,,,,,,,,,,,,,,
2015,8,,,,,,,,,,,,,,,,,,,,
2015,9,,,,,,,,,,,,,,,,,,,,
2015,10,,,,,,,,,,,,,,,,,,,,
2015,11,,,,,,,,,,,,,,,,,,,,
2015,12,,,,,,,,,,,,,,,,,,,,
2016,1,7415.15,1.30,3.80,0.00,0.30,2.00,1.49,5.43,1.95,2.51,3686.47,30.20,5.85,9.76,12.40,4.65,12.40,15.25,4.80,7.23
2016,2,7415.15,4.80,3.30,2.08,0.63,0.25,1.27,5.11,3.55,5.18,3686.47,1.57,0.00,9.22,0.00,5.01,0.00,1.16,0.00,13.56
2016,3,7415.15,0.80,0.50,0.00,0.20,0.00,0.35,0.45,0.00,5.46,3686.47,10.50,1.85,6.85,2.80,3.50,6.90,6.45,7.20,5.12
2016,4,11798.16,0.50,1.87,0.00,0.00,0.00,0.50,1.40,0.00,0.56,9061.07,14.00,6.80,7.60,5.30,4.20,10.70,7.90,5.30,5.30
2016,5,11798.16,3.22,2.38,0.36,1.50,0.76,0.83,5.80,0.45,0.00,9061.07,28.25,5.70,14.60,4.35,9.70,15.25,14.95,9.50,0.30
2016,6,11798.16,4.80,5.39,1.90,4.09,1.74,3.34,4.57,2.90,0.33,9061.07,46.05,12.10,17.65,11.27,8.50,9.70,27.70,14.40,0.90
2016,7,11798.16,7.49,7.03,0.65,3.45,1.12,3.34,10.05,3.20,0.00,9061.07,40.10,17.10,19.40,17.30,12.40,20.80,23.40,12.90,0.00
2016,8,11798.16,2.94,1.38,2.24,0.52,0.85,2.24,2.03,0.00,0.00,9061.07,38.50,5.00,10.50,8.50,12.00,10.00,24.75,10.00,0.20
2016,9,7415.15,5.58,1.00,0.50,0.01,0.00,0.34,2.23,0.10,0.00,3686.47,48.25,15.45,38.00,9.25,2.00,36.70,23.50,22.80,0.05
2016,10,7415.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,3686.47,31.71,8.67,9.28,7.55,0.00,10.99,11.09,5.36,0.10
2016,11,7415.15,3.20,3.67,0.50,1.00,0.50,1.50,2.95,0.00,0.00,3686.47,13.90,4.50,8.00,4.50,2.00,11.50,11.90,3.00,1.35
2016,12,7415.15,2.00,2.00,5.00,1.00,0.00,3.00,5.00,0.00,0.54,3686.47,30.40,8.70,11.70,3.60,0.00,22.00,15.70,9.40,3.28
2017,1,8211.35,2.40,2.00,1.00,0.15,3.55,0.60,2.00,0.50,2.01,4659.65,12.42,2.80,0.00,12.16,7.06,11.45,20.65,12.08,5.09
2017,2,8211.35,0.90,1.90,0.20,0.00,1.88,3.93,0.90,1.10,4.94,4659.65,16.70,7.45,17.20,16.65,6.82,10.50,13.60,11.75,10.18
2017,3,8211.35,1.70,0.00,5.50,3.00,0.45,5.50,3.50,1.00,6.69,4659.65,31.10,8.25,3.45,7.95,4.49,5.05,10.80,9.90,4.40
2017,4,11794.91,1.35,0.65,1.20,0.00,0.76,1.25,0.65,0.80,0.45,9115.20,12.65,6.75,6.40,8.25,4.74,4.80,12.25,8.70,6.37
2017,5,11794.91,0.55,1.00,4.62,1.20,1.01,0.40,2.35,0.00,0.00,9115.20,25.70,8.90,13.20,8.20,7.23,7.60,19.70,11.50,0.38
2017,6,11794.91,1.76,0.85,1.38,0.20,1.34,1.13,5.05,0.25,0.26,9115.20,37.80,14.50,18.90,18.35,7.21,7.90,16.65,11.40,1.13
2017,7,11794.91,1.83,1.28,1.77,0.61,1.96,0.93,2.26,0.40,0.00,9115.20,38.35,14.68,16.95,16.03,8.25,7.15,22.15,13.80,0.00
2017,8,11794.91,2.00,0.25,1.40,0.30,0.48,0.60,1.05,0.30,0.00,9115.20,40.75,14.10,26.50,17.40,7.84,16.40,25.50,17.20,0.25
2017,9,8211.35,4.50,1.50,1.75,0.70,0.57,0.00,1.80,0.80,0.00,4659.65,49.50,14.80,20.80,14.65,5.78,21.85,20.65,10.60,0.06
2017,10,8211.35,0.94,2.52,0.40,1.00,0.43,1.30,3.12,0.00,0.23,4659.65,30.00,19.80,25.75,20.00,5.18,26.50,23.20,19.00,0.13
2017,11,8211.35,0.00,1.00,0.70,1.50,0.68,0.00,3.00,1.50,0.00,4659.65,38.00,21.25,25.75,13.50,4.60,34.25,26.75,22.00,1.69
2017,12,8211.35,2.22,5.93,0.92,2.99,0.31,2.43,7.50,0.45,0.63,4659.65,12.90,10.20,10.20,10.00,4.91,15.40,9.00,12.20,4.11
2018,1,8224.41,2.60,5.83,2.98,4.15,1.70,2.67,4.68,2.65,1.81,5029.89,23.60,16.50,6.93,20.50,17.10,24.30,17.10,15.30,6.78
2018,2,8224.41,0.50,1.00,0.95,0.50,1.00,0.00,3.00,0.10,5.15,5029.89,11.30,4.60,8.00,11.00,12.90,9.90,9.10,6.90,13.57
2018,3,8224.41,3.88,1.10,1.64,2.85,0.40,1.23,3.30,0.45,6.00,5029.89,12.70,3.50,4.99,12.60,14.70,10.20,13.30,9.30,3.93
2018,4,11794.91,5.13,4.33,0.90,0.00,0.00,2.47,1.70,0.00,0.56,9115.20,21.80,10.60,4.63,13.60,16.70,13.00,21.80,14.60,7.00
2018,5,11794.91,1.05,1.48,1.27,2.70,1.00,1.15,4.05,2.20,0.00,9115.20,28.10,16.60,10.23,26.70,26.40,15.40,21.30,17.30,0.50
2018,6,11794.91,2.87,6.08,1.46,0.20,3.28,1.13,14.14,0.75,0.21,9115.20,33.50,17.95,16.14,19.05,24.20,15.40,23.70,20.35,1.50
2018,7,11794.91,4.38,4.35,2.91,3.65,3.25,0.20,3.20,0.50,0.00,9115.20,39.10,19.54,13.33,22.25,25.72,16.70,30.20,19.98,0.00
2018,8,11794.91,0.51,0.31,1.56,0.44,0.95,0.60,1.41,0.30,0.00,9115.20,35.90,12.47,15.02,14.00,21.83,12.79,26.90,18.70,0.33
2018,9,8224.41,1.64,1.42,1.21,0.00,0.10,0.50,0.94,0.70,0.00,5029.89,32.25,16.80,18.62,13.77,17.90,14.75,22.85,21.40,0.00
2018,10,8224.41,4.62,3.78,1.06,2.48,0.00,1.65,3.22,0.00,0.18,5029.89,10.10,15.91,9.74,16.22,16.63,16.44,14.50,16.06,0.17
2018,11,8224.41,0.60,2.90,1.31,2.50,1.00,0.95,3.10,0.90,0.00,5029.89,18.35,16.00,9.78,13.82,12.73,14.03,15.50,13.18,0.75
2018,12,8224.41,0.44,0.77,2.35,0.10,0.70,0.35,2.34,0.00,0.51,5029.89,11.35,12.53,8.99,10.70,12.95,13.89,18.00,12.46,0.83
2019,1,8492.30,3.90,3.30,7.30,3.35,0.20,0.85,2.60,0.00,2.43,5234.15,12.51,13.63,6.38,11.04,9.65,13.15,12.27,9.75,6.00
2019,2,8492.30,0.10,0.95,0.20,0.45,0.05,0.30,0.75,0.55,5.14,5234.15,13.00,11.96,4.25,9.30,11.20,12.22,15.29,13.20,11.30
2019,3,8492.30,3.20,1.05,4.30,2.50,0.00,1.25,2.30,1.25,4.86,5234.15,7.45,1.20,3.25,2.80,1.30,2.35,9.85,1.80,4.50
2019,4,11722.55,2.20,1.50,0.00,0.90,0.00,0.35,1.40,0.00,0.45,9142.70,6.75,2.55,1.30,3.10,0.40,3.30,10.65,3.65,7.28
2019,5,11722.55,1.85,1.25,1.75,0.00,0.05,0.75,2.00,0.50,0.00,9142.70,7.50,5.15,12.95,7.92,0.25,0.90,10.31,0.70,0.25
2019,6,11722.55,5.68,6.28,5.68,0.00,0.10,0.85,7.80,0.95,0.47,9142.70,24.65,5.72,26.28,12.05,1.96,4.30,17.29,3.75,2.25
2019,7,11722.55,6.00,1.45,5.98,1.00,1.00,0.90,0.83,1.60,0.00,9142.70,18.39,8.34,22.10,7.85,1.17,5.73,14.90,4.55,0.00
2019,8,11722.55,5.98,5.30,0.80,0.95,0.05,1.25,2.25,0.80,0.00,9142.70,19.27,6.44,22.06,6.80,3.82,9.42,19.25,6.45,0.50
2019,9,8492.30,3.52,10.20,0.75,0.00,0.00,0.80,5.44,1.40,0.00,5234.15,11.50,2.60,9.90,2.40,1.65,9.35,12.35,2.05,0.00
2019,10,8492.30,4.26,3.78,2.20,2.48,0.00,1.65,3.27,0.00,0.41,5234.15,23.86,6.60,10.80,4.25,2.85,5.30,18.90,1.70,0.00
2019,11,8492.30,0.74,0.77,0.50,0.10,2.20,0.35,2.04,0.00,0.00,5234.15,18.60,2.40,8.90,6.10,1.25,6.75,17.10,3.35,0.50
2019,12,8492.30,2.90,3.30,7.30,3.85,0.20,0.85,2.60,0.00,0.41,5234.15,22.00,2.35,9.85,1.75,2.45,7.15,17.55,3.35,1.25
2020,1,8929.98,22.30,14.70,10.00,1.00,17.10,3.80,24.90,21.10,3.80,5139.47,14.30,2.35,11.45,5.23,5.16,5.55,9.19,2.25,15.80
2020,2,8929.98,0.90,2.73,2.55,0.50,8.80,1.77,2.30,6.00,5.48,5139.47,17.10,1.75,12.66,8.80,5.76,9.81,16.79,3.55,27.10
2020,3,8929.98,5.80,0.25,0.30,0.50,0.40,1.10,2.30,0.00,4.29,5139.47,6.85,0.75,3.40,3.05,2.18,6.30,7.05,2.05,8.00
2020,4,11649.88,1.82,0.50,3.22,0.50,4.34,1.75,1.82,0.00,0.79,9339.92,3.50,4.20,3.15,3.45,1.89,2.13,8.50,4.35,1.00
2020,5,11649.88,4.49,1.10,1.20,0.70,4.25,5.69,6.32,0.00,0.00,9339.92,6.70,2.57,10.23,2.47,1.83,0.40,11.20,5.34,0.00
2020,6,11649.88,6.50,0.45,1.00,0.20,2.50,2.06,3.38,0.00,0.38,9339.92,14.90,6.60,20.35,7.85,2.64,4.80,15.90,9.57,0.00
2020,7,11649.88,3.55,0.80,1.00,0.00,2.15,1.80,3.10,0.00,0.00,9339.92,10.80,5.62,12.57,4.14,2.84,5.95,13.33,3.80,0.00
2020,8,11649.88,0.00,0.12,0.20,0.00,0.40,0.55,0.30,0.00,0.00,9339.92,4.50,5.50,10.39,3.48,3.31,3.20,8.23,0.91,0.00
2020,9,8929.98,0.90,0.00,0.15,0.00,1.50,1.00,1.50,0.00,0.00,5139.47,19.25,6.23,20.03,8.55,3.69,13.26,12.00,4.18,0.00
2020,10,8929.98,0.80,0.15,0.00,0.00,0.40,0.00,0.65,0.00,0.33,5139.47,5.70,0.93,5.38,2.18,3.62,3.73,7.04,1.57,0.00
2020,11,8929.98,0.00,0.20,0.00,0.25,0.15,0.10,0.45,0.00,0.00,5139.47,1.15,2.00,0.95,0.80,3.21,1.27,4.25,0.20,0.00
2020,12,8929.98,1.00,0.65,0.75,0.00,0.25,0.30,2.55,0.40,0.63,5139.47,9.60,4.85,12.60,4.65,4.12,6.73,8.95,2.30,0.00
2021,1,13644.40,1.65,5.50,2.30,1.00,3.55,2.90,4.92,1.75,0.00,5954.22,8.10,4.50,6.00,4.65,5.58,11.05,9.33,0.00,0.00
2021,2,13644.40,1.50,0.75,0.35,0.00,1.88,6.49,1.60,1.95,4.00,5954.22,6.05,1.25,3.00,2.75,7.45,8.05,10.00,0.00,0.00
2021,3,13644.40,0.00,1.30,0.30,0.85,0.45,6.28,1.70,2.90,11.60,5954.22,10.88,2.30,2.18,3.85,2.29,6.33,7.25,0.64,5.80
2021,4,11838.24,0.25,0.50,0.10,0.85,0.76,1.00,2.85,0.00,0.00,7643.22,3.85,1.25,2.73,4.40,2.35,6.26,4.50,0.40,4.50
2021,5,11838.24,0.75,0.20,0.20,0.00,1.01,0.40,0.00,0.95,0.00,7643.22,4.75,0.00,3.10,3.00,2.05,6.09,4.55,1.00,0.00
2021,6,11838.24,1.15,0.15,0.40,1.10,1.34,0.00,0.85,0.10,0.00,7643.22,6.30,2.75,4.40,2.45,2.65,6.46,5.05,2.44,0.00
2021,7,11838.24,4.15,6.60,2.15,4.15,1.96,0.00,9.00,1.25,0.00,7643.22,5.95,1.50,6.05,4.50,6.20,8.57,5.65,1.95,0.00
2021,8,11838.24,0.50,1.80,1.60,3.20,0.48,0.25,3.95,1.05,0.00,7643.22,4.70,1.70,4.49,5.50,5.05,9.08,4.10,0.15,0.00
2021,9,13644.40,1.10,0.00,0.65,0.50,0.57,0.50,0.85,0.00,0.00,5954.22,6.28,2.85,9.63,7.60,3.13,14.07,11.70,2.30,0.25
2021,10,13644.40,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,5954.22,16.87,3.10,7.83,9.45,5.97,9.43,14.90,1.78,0.00
2021,11,13644.40,2.00,2.80,1.82,5.20,0.68,3.00,4.20,3.47,0.00,5954.22,9.03,4.03,13.72,8.08,4.75,11.21,14.40,2.06,4.50
2021,12,13644.40,1.25,2.80,0.75,1.50,0.31,1.95,8.00,0.35,1.00,5954.22,12.69,4.80,14.13,5.00,6.18,10.07,14.96,2.51,13.92
2022,1,9873.83,0.20,2.00,0.00,0.00,0.00,1.25,1.90,0.10,1.00,6298.32,4.03,2.65,5.43,5.80,1.75,6.44,12.61,3.56,8.34
2022,2,9873.83,1.30,2.30,0.30,0.80,1.20,0.20,0.20,0.00,6.00,6298.32,1.66,1.55,3.30,5.05,1.68,6.83,9.60,4.75,18.10
2022,3,9873.83,2.15,0.00,0.00,0.00,0.20,5.92,0.72,0.00,3.25,6298.32,7.90,4.33,9.30,5.30,2.74,6.76,12.03,8.35,2.80
2022,4,11771.14,0.20,4.00,0.10,2.30,0.10,1.25,2.40,0.40,1.00,7860.02,8.08,3.95,8.48,3.30,2.80,5.98,7.34,4.11,6.44
2022,5,11771.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7860.02,5.45,2.55,12.25,9.15,1.90,3.15,17.45,3.75,1.00
2022,6,11771.14,3.60,2.70,0.45,0.75,0.00,0.00,1.60,0.50,0.00,7860.02,5.85,1.85,11.95,4.25,1.85,5.50,8.65,2.30,0.00
2022,7,11771.14,3.10,11.25,8.55,2.85,3.60,3.33,8.08,2.00,0.00,7860.02,15.65,8.74,13.15,5.36,3.35,8.86,13.30,5.58,0.00
2022,8,11771.14,4.65,0.90,3.35,2.00,0.60,0.00,1.60,0.30,0.00,7860.02,17.95,8.42,27.38,7.68,3.16,15.69,25.73,4.83,0.00
2022,9,9873.83,4.10,10.90,4.60,7.20,1.60,2.50,9.25,0.60,0.00,6298.32,10.45,7.00,17.10,7.55,5.90,10.00,14.35,6.10,0.00
2022,10,9873.83,4.60,3.40,0.70,4.60,2.20,2.30,1.10,1.40,0.00,6298.32,13.10,3.30,9.55,9.45,3.95,8.55,13.15,5.65,0.50
2022,11,9873.83,0.60,4.65,2.10,0.10,0.00,0.00,1.10,0.30,0.00,6298.32,9.25,1.75,10.00,9.75,2.55,10.60,13.50,3.55,1.25
2022,12,9873.83,0.80,3.10,0.25,0.80,0.00,2.00,0.50,0.00,0.00,6298.32,11.00,1.00,5.25,5.05,5.75,7.25,10.30,4.55,0.00
2023,1,10376.97,3.00,10.90,1.20,0.20,0.30,4.55,2.10,1.20,4.90,7132.48,4.80,3.50,11.15,5.90,3.65,11.25,7.20,4.90,1.00
2023,2,10376.97,0.70,0.40,0.40,0.00,0.00,10.00,1.60,0.90,5.10,7132.48,3.95,3.80,5.90,5.00,2.70,7.55,16.00,8.10,7.50
2023,3,10376.97,1.30,7.90,1.10,1.80,1.70,1.90,6.70,0.60,0.30,7132.48,7.15,5.65,6.55,9.15,2.40,7.40,16.25,8.20,8.00
2023,4,13139.76,1.10,1.40,2.10,0.40,0.10,4.30,0.40,1.50,0.00,8424.75,4.50,2.25,4.15,2.45,2.00,4.73,7.55,2.00,0.00
2023,5,13139.76,0.70,0.30,0.00,0.00,0.00,0.10,2.30,0.70,0.00,8424.75,7.00,2.65,6.55,10.30,3.10,2.20,17.85,4.80,0.50
2023,6,13139.76,4.05,1.25,0.65,1.10,0.40,0.25,1.65,0.00,1.50,8424.75,6.90,2.30,9.95,3.70,4.10,1.00,12.10,0.75,2.00
2023,7,13139.76,4.40,4.40,2.20,2.15,0.65,0.00,2.20,0.35,0.00,8424.75,6.50,3.85,8.30,5.10,0.65,1.90,8.70,0.55,0.00
2023,8,13139.76,0.80,1.30,0.30,1.30,0.00,0.00,0.50,0.00,0.00,8424.75,7.50,5.05,11.10,4.80,1.20,3.10,12.50,1.00,0.00
2023,9,10376.97,2.40,0.35,0.30,2.15,0.20,0.00,1.10,0.10,0.00,7132.48,10.63,2.53,23.93,9.18,4.08,3.85,14.28,4.88,0.00
2023,10,10376.97,2.90,1.75,0.90,0.70,0.00,0.90,2.60,0.15,1.30,7132.48,2.75,2.35,4.35,5.15,1.70,2.60,11.15,0.30,0.00
2023,11,10376.97,1.85,2.60,0.50,0.30,0.25,12.25,0.85,0.30,0.00,7132.48,8.45,2.25,8.15,2.95,4.30,6.95,6.65,3.90,0.00
2023,12,10376.97,4.30,8.80,3.80,2.30,0.70,3.00,4.90,1.30,0.00,7132.48,3.60,1.20,4.75,3.85,2.10,3.20,8.55,1.80,2.50
2024,1,10230.70,2.95,3.60,2.05,1.85,3.55,7.00,2.75,0.00,9.30,6923.98,8.75,3.70,5.25,9.30,3.65,3.85,10.40,2.65,11.00
2024,2,10230.70,4.70,8.05,1.55,2.35,1.88,4.70,4.70,0.90,6.80,6923.98,8.87,4.20,8.50,3.45,2.70,7.60,24.85,3.15,15.10
2024,3,10230.70,0.90,4.10,1.60,2.25,0.45,0.60,1.00,0.25,2.00,6923.98,7.95,1.30,4.95,2.85,2.40,5.70,14.30,1.75,1.00
2024,4,11954.56,1.40,0.00,0.50,2.90,0.76,0.50,4.00,0.30,2.15,8218.90,4.30,2.50,3.20,4.55,2.00,5.45,8.00,0.50,14.55
2024,5,11954.56,4.40,5.75,2.00,4.45,1.01,0.75,0.25,1.70,0.00,8218.90,8.20,2.35,8.95,4.95,3.10,3.80,13.15,0.90,0.00
2024,6,11954.56,0.15,0.30,0.20,0.30,1.34,0.00,1.10,0.00,0.00,8218.90,16.70,3.00,19.65,8.75,4.10,3.10,19.45,2.70,2.50
2024,7,11954.56,3.90,7.35,1.00,6.00,1.96,2.50,6.35,1.40,0.00,8218.90,7.17,3.15,8.12,3.85,0.65,1.45,9.50,3.80,0.00
